Mystic_id,Forgotten Metropolis,Enchanted Town of the West,Cryptic City by the Sea,Mysterious Capital of the North,Bizarre Borough of the South,Arcane Village in the Mountains,Whimsical Hamlet of the Forest,Surreal Settlement by the River,Illusory Isle in the Sky,Dreamlike Downtown of the Desert,Hypnotic Heights of the Highlands,Illogical Level of Livability
30,8,0.84,0.07,2.5,0.086,11,18,0.99476,3.37,0.54,10,7
31,6.1,0.69,0.24,2.3,0.078,5,19,0.9952,3.54,0.74,9.7,6
32,8.9,0.45,0.39,1.5,0.05,3,12,0.99808,3.32,0.72,11,5
33,7.8,0.41,0.29,2.1,0.104,6,16,0.9967,3.26,0.73,11.8,7
34,9.2,0.54,0.26,2.3,0.082,23,122,0.998,3.12,0.64,9.2,5
35,7,0.62,0.06,1.9,0.076,27,63,0.9975,3.34,0.74,9.6,6
36,7.1,0.36,0.3,1.8,0.081,24,52,0.9978,3.4,0.52,10.3,6
37,8.7,0.58,0.21,2.5,0.097,18,91,0.99596,3.19,0.68,9.2,5
38,12,0.31,0.49,2.8,0.091,9,30,0.9987,3.04,0.81,10.7,6
39,8.6,0.4,0.11,1.9,0.065,3,9,0.99765,3.1,0.47,10.7,5
40,7.5,0.5,0.02,2.6,0.077,17,40,0.99587,3.37,0.93,10.1,6
41,12,0.42,0.49,14,0.086,6,42,1.0021,3.42,0.75,11.6,6
42,7.8,0.44,0.29,2.8,0.098,19,59,0.9959,3.33,0.59,9.5,3
43,8.4,0.48,0.42,2.6,0.106,5,19,0.9965,3.16,1.06,9.5,5
44,7.1,0.785,0,2.5,0.097,12,89,0.99632,3.5,0.52,11.8,7
45,8,0.76,0.07,2.2,0.041,22,81,0.9972,3.12,0.68,9.6,5
46,8.7,0.51,0.6,2,0.074,6,18,0.9973,3.27,0.76,10.1,8
47,7.4,0.32,0.41,2.4,0.086,16,72,0.99728,3.33,0.77,10.8,6
48,5,0.62,0.13,1.9,0.093,14,42,0.99258,3.63,0.56,10.1,6
49,7,0.38,0.32,1.8,0.052,27,53,0.99467,3.38,0.72,10.2,6
50,8.6,0.34,0.43,2.1,0.067,19,35,0.99516,3.29,0.66,11.8,6
51,7.3,0.42,0.29,2.5,0.081,26,65,0.99689,3.44,0.83,12.5,6
52,9.9,0.4,0.5,2.6,0.077,16,63,0.9991,3.35,0.82,10.3,6
53,7.6,0.88,0.21,2.2,0.077,28,54,0.9963,3.27,0.47,9.8,5
54,9.8,0.42,0.39,3.3,0.103,28,129,0.9976,3.26,0.71,10.6,5
55,7.8,0.78,0.08,1.7,0.084,16,72,0.9971,3.02,0.48,9.7,5
56,9.3,0.5,0.49,1.5,0.098,5,15,0.99498,3.28,0.64,9.2,6
57,7.4,0.6,0.26,1.9,0.08,23,71,0.99612,3.37,0.52,9.9,5
58,7.8,0.59,0.12,2.3,0.082,32,46,0.9964,3.29,0.55,9.5,5
59,7,0.66,0,1.8,0.057,7,16,0.99456,3.38,0.54,11.2,5
60,7.4,0.51,0.23,1.5,0.063,21,74,0.99578,3.3,0.6,9.8,5
61,7.2,0.74,0.07,2.8,0.089,31,92,0.99693,3.22,0.52,10.5,5
62,9.4,0.35,0.39,2.9,0.08,32,44,0.99786,3.32,0.63,10.5,6
63,8.8,0.625,0.19,1.8,0.114,6,12,0.9969,3.19,0.59,9.8,5
64,8,0.825,0.18,1.6,0.074,12,87,0.99685,3.3,0.55,9.5,5
65,12.8,0.39,0.6,2.2,0.07,12,47,0.9981,3.09,0.73,10.8,7
66,7,0.6,0,1.4,0.066,5,12,0.9972,3.47,0.7,9.5,6
67,7.7,0.57,0.21,2.1,0.076,23,143,0.9974,3.16,0.62,9.4,5
68,7.4,0.705,0.05,2.2,0.087,21,75,0.9965,3.51,0.51,9.5,6
69,6.6,0.725,0.06,3,0.077,17,26,0.99489,3.34,0.66,10.1,7
70,7.1,0.66,0,4.3,0.082,5,16,0.99787,3.48,0.45,9.6,5
71,6.3,0.73,0.02,2.5,0.066,12,77,0.99572,3.59,0.52,10.5,5
72,9.3,0.47,0.37,2.6,0.114,10,28,0.9982,3.17,0.62,9.5,5
73,6.1,0.695,0,2.1,0.065,15,28,0.99531,3.52,0.53,10,6
74,7,0.56,0.02,2,0.077,31,54,0.9976,3.56,0.62,10.5,6
75,8.9,0.685,0.19,2.4,0.095,32,44,0.99727,3.23,0.71,9.5,5
76,10.9,0.49,0.44,2.6,0.081,16,42,1.0032,3.32,0.61,12,6
77,7.8,0.43,0.32,2,0.083,23,58,0.99622,3.38,0.78,12,5
78,7.2,0.885,0,1.6,0.084,7,20,0.9972,3.51,0.54,9.4,5
79,8.8,0.49,0.24,1.8,0.109,6,13,0.9968,3.19,0.57,9.5,5
80,9,0.34,0.39,2,0.064,5,15,0.9974,3.18,0.57,10.7,6
81,8.2,0.49,0.21,2.5,0.11,10,34,0.99761,3.21,0.7,9,6
82,7.1,0.65,0.02,2.1,0.066,17,91,0.9962,3.47,0.59,9.5,5
83,5.3,0.43,0.09,1.8,0.048,6,21,0.99252,3.53,0.76,12,7
84,8,0.82,0.22,2.3,0.08,11,86,0.99668,3.31,0.53,9.5,5
85,10,0.52,0.33,2.4,0.076,3,14,0.9978,3.2,0.91,10.1,6
86,8.6,0.39,0.27,1.9,0.055,15,28,0.99516,3.16,0.8,11.3,5
87,10.4,0.38,0.57,2.3,0.07,5,20,0.9986,3.13,0.57,11,6
88,6.7,0.75,0.01,2,0.058,9,22,0.99362,3.59,0.58,10.9,5
89,9.1,0.43,0.55,2,0.077,8,23,0.9976,3.27,0.78,9.6,6
90,7.3,0.6,0.23,1.9,0.077,21,110,0.9982,3.32,0.58,9.3,5
91,8,0.84,0.26,2.1,0.074,27,61,0.9976,3.4,0.52,9.4,5
92,7.1,0.69,0,2.1,0.056,6,17,0.99472,3.41,0.71,12.3,6
93,9,0.48,0.49,5.5,0.097,9,42,1.0014,3.32,0.6,10.5,6
94,8.1,0.5,0.29,2.6,0.084,21,101,0.9972,3.14,0.59,9.5,6
95,12.6,0.51,0.66,1.9,0.081,10,39,0.9994,3.1,0.69,9,6
96,10,0.37,0.42,2,0.079,26,35,0.99528,3.14,0.74,10.1,8
97,10.4,0.27,0.53,1.9,0.063,6,12,0.99604,3.2,1.13,10.5,6
98,8.1,0.64,0.22,2.5,0.096,34,143,0.99712,3.2,0.48,9.5,5
99,5.6,0.74,0.03,1.9,0.081,7,13,0.99508,3.56,0.54,9.8,5
100,7.4,0.62,0.06,2,0.089,27,61,0.99621,3.51,0.73,10.7,6
101,9.3,0.28,0.49,2.5,0.082,17,110,0.9982,3.24,0.61,9.8,5
102,8.2,0.7,0.09,3,0.039,16,42,1.00015,3.46,0.74,9.2,5
103,8.8,0.725,0.22,2.5,0.086,18,37,0.9994,3.1,0.55,9.4,6
104,8.2,0.55,0.14,2.1,0.056,14,22,0.99494,3.26,0.59,11.1,6
105,8.9,0.46,0.39,2.2,0.084,26,61,0.9971,3.17,0.64,9.3,5
106,5.8,0.52,0.13,2,0.075,15,21,0.99528,3.54,0.47,11,4
107,6.8,0.54,0.04,1.9,0.064,16,86,0.99842,3.62,0.68,9.5,4
108,8.2,0.875,0.05,2.9,0.092,16,86,0.99739,3.3,0.44,10.5,5
109,7.1,0.33,0.4,1.5,0.056,6,16,0.99396,3.39,0.72,10.9,6
110,7,0.66,0,1.6,0.08,21,110,0.99584,3.38,0.57,9.8,5
111,7.2,0.48,0.3,1.9,0.068,20,110,0.999,3.3,1.15,9,4
112,6.6,0.735,0,2.4,0.065,17,40,0.99774,3.47,0.55,9.9,5
113,12.3,0.43,0.49,2.2,0.098,29,44,0.999,3.13,0.6,10.9,6
114,6.8,0.34,0.27,1.9,0.095,35,152,0.99854,3.45,0.92,10.5,6
115,7.3,0.24,0.33,4.4,0.093,11,18,0.99803,3.26,0.58,11.6,6
116,9.9,0.38,0.55,1.7,0.049,6,24,0.9948,3.27,0.79,12.3,7
117,6.9,0.59,0.22,2,0.082,23,81,0.9948,3.38,0.6,10.7,6
118,12.5,0.42,0.64,2.6,0.089,9,18,0.99842,3.08,0.69,10.4,6
119,8.7,0.47,0.19,4,0.088,6,14,0.9962,3.3,0.64,9.3,6
120,7.5,0.59,0.02,2.1,0.071,24,88,0.99538,3.34,0.54,10.9,6
121,9.7,0.45,0.49,2.5,0.078,21,119,0.9982,3.09,0.57,9.4,6
122,7.9,0.6,0.49,2.9,0.08,23,67,1.00012,3.5,0.49,9.5,5
123,7.5,0.65,0.02,2.4,0.102,5,9,0.99498,3.37,0.62,10.8,6
124,7.2,0.67,0,2.3,0.059,19,50,0.99242,3.35,0.47,11,5
125,9.3,0.27,0.53,5.1,0.074,11,38,0.99528,3.2,0.77,11,7
126,6.8,0.795,0,1.7,0.039,18,38,0.9952,3.36,0.52,10.9,5
127,9.1,0.34,0.33,3.4,0.073,30,92,0.99564,3.35,0.63,10.8,5
128,9.1,0.745,0.36,2,0.084,6,21,0.9983,3.27,0.48,9,5
129,11.9,0.31,0.49,2.9,0.1,6,20,0.9962,3.15,0.7,10.2,8
130,8,0.32,0.52,2.4,0.102,7,12,0.99647,3.23,0.6,10,6
131,9.2,0.46,0.24,3.4,0.077,16,46,0.9986,3.12,0.65,11,7
132,10,0.28,0.44,1.9,0.072,25,99,0.9968,3.22,1.95,10.5,5
133,8.6,0.32,0.43,2.3,0.093,26,51,0.99734,3.26,0.73,10.8,5
134,7.3,0.62,0,1.4,0.068,25,42,0.9956,3.44,0.58,9.7,5
135,7,0.685,0.01,2.2,0.055,11,44,0.99538,3.33,0.95,11.1,5
136,7,0.62,0.06,1.6,0.076,23,44,0.9963,3.38,0.8,9.5,6
137,9.8,0.8,0.11,2.4,0.083,4,8,0.99668,3.21,0.57,9.8,5
138,8.3,0.5,0.49,2.3,0.205,5,14,0.9976,3.19,0.55,9.5,5
139,7,0.52,0.14,2.1,0.091,37.5,54,0.99712,3.54,0.61,9.9,6
140,7,0.74,0,2.6,0.093,5,12,0.99316,3.4,0.63,12,6
141,7.8,0.66,0.26,1.9,0.083,11,65,0.99618,3.38,0.6,9,5
142,7.7,0.6,0.26,2,0.079,29,53,0.99628,3.31,0.55,9.8,4
143,10.4,0.21,0.49,2.6,0.074,6,21,0.99975,3.22,0.93,10.5,6
144,9.6,0.52,0.49,2.9,0.083,16,32,1.001,3.26,0.54,9.4,5
145,11.9,0.35,0.53,1.6,0.071,5,14,0.9986,3.17,0.47,9.7,6
146,7,0.36,0.3,1.6,0.074,29,46,0.99438,3.31,0.64,11.2,7
147,6.9,0.37,0.14,2.1,0.063,8,16,0.99462,3.41,0.64,11.5,6
148,6,0.59,0.02,1.4,0.072,32,52,0.995,3.54,0.58,10.6,5
149,8.9,0.49,0.34,1.9,0.085,41,87,0.9978,3.3,0.61,9,6
150,7.2,0.625,0.12,2.6,0.104,14,25,0.99593,3.51,0.69,10.8,6
151,8.6,0.3,0.34,2.5,0.068,6,12,0.99242,3.1,0.87,12.2,7
152,10.4,0.36,0.39,3.3,0.085,7,31,0.9982,3.26,0.53,11,5
153,7,0.66,0.02,2.1,0.066,21,58,0.9972,3.47,0.72,9.7,6
154,6.3,0.48,0.14,1.9,0.077,15,46,0.9956,3.36,0.63,10.2,5
155,7.8,0.965,0.05,2.3,0.082,5,14,0.9978,3.35,0.48,9.7,6
156,6.6,0.4,0.4,2.6,0.046,8,24,0.9955,3.25,0.64,10.4,6
157,6.9,0.63,0.03,2.5,0.078,29,85,0.99746,3.55,0.4,9.5,5
158,9.3,0.36,0.39,1.7,0.075,13,35,0.9978,3.09,1.06,9,6
159,10.2,0.43,0.24,3.3,0.083,17,43,1.0022,3.26,0.56,10,5
160,7.6,0.655,0.09,1.8,0.078,8,18,0.99476,3.31,0.39,11.5,6
161,7.4,0.5,0.1,1.8,0.106,4,14,0.9966,3.28,0.55,9.9,5
162,8.8,0.96,0.22,2.5,0.097,5,13,0.9994,3.22,0.49,9.4,5
163,7.9,0.37,0.25,2.4,0.012,16,86,0.99645,3.43,0.73,10.4,6
164,9,0.48,0.31,3.2,0.078,41,55,0.9981,3.31,0.89,10,5
165,7,0.57,0.06,2.3,0.078,31,131,0.9971,3.37,0.62,9.7,5
166,9,0.62,0.26,2.6,0.079,27,66,0.9976,3.39,0.54,10.5,5
167,7,0.52,0,1.9,0.076,26,51,0.995,3.34,0.84,10.2,6
168,9.3,0.3,0.5,2.1,0.069,14,56,0.99735,3.04,0.79,10.1,6
169,5.6,0.66,0.05,2.2,0.049,6,14,0.99512,3.62,0.57,11.4,6
170,7.5,0.59,0.06,1.6,0.072,7,20,0.9969,3.43,0.6,9,5
171,7,0.43,0.32,2,0.081,27,62,0.99736,3.42,0.72,10,6
172,6,0.785,0,1.8,0.068,5,14,0.996,3.54,0.58,10,5
173,7.8,0.6,0.13,2.3,0.078,16,86,0.99728,3.58,0.53,9.7,6
174,7.2,0.56,0.14,6.3,0.078,9,28,0.99724,3.35,0.61,9.5,5
175,8.4,0.49,0.28,1.8,0.091,15,64,0.997,3.28,0.64,9.7,6
176,7.3,0.43,0.24,2,0.114,3,14,0.99648,3.27,0.54,9.5,5
177,7.5,0.27,0.53,3.2,0.101,4,11,0.99562,3.21,0.6,12.4,6
178,7,0.705,0.07,2.6,0.1,8,15,0.99744,3.51,0.65,10,7
179,9.1,0.57,0.27,8.8,0.097,7,11,0.99824,3.17,0.63,10.5,7
180,7.4,0.585,0.17,2.7,0.056,5,14,0.9976,3.19,0.48,9.5,6
181,7.2,0.65,0.02,1.5,0.053,12,21,0.99736,3.34,0.64,10.8,6
182,8.3,0.62,0.27,2.8,0.086,17,119,0.9984,3.22,0.57,9.2,5
183,9.9,1,0,2.3,0.106,17,50,0.99786,3.31,0.55,9.5,4
184,6.6,0.63,0.1,1.9,0.071,45,87,0.99525,3.46,0.68,10.2,6
185,6.8,0.43,0.14,1.6,0.08,15,34,0.9955,3.35,0.44,9.9,5
186,10.4,0.39,0.45,1.4,0.08,29,66,0.99704,3.22,0.65,10.03333333,6
187,7.1,0.575,0.22,1.9,0.076,27,51,0.9946,3.39,0.59,10.1,6
188,6.8,0.49,0,6.3,0.085,28,52,0.99531,3.49,0.77,12.4,7
189,8.4,0.61,0.18,2,0.078,10,37,0.99498,3.14,0.62,12.1,7
190,6.6,0.48,0.31,2.2,0.086,26,46,0.9948,3.4,0.83,12.3,7
191,6.1,0.695,0,2.5,0.094,32,94,0.99852,3.59,0.6,9.8,5
192,10,0.5,0.54,2.5,0.085,7,19,0.9986,3.12,0.62,9.2,6
193,8.7,0.32,0.25,2.5,0.097,26,60,0.9976,3.21,0.47,9.2,5
194,8.3,0.825,0.22,2.7,0.095,5,16,0.99688,3.43,0.55,10.4,5
195,10.4,0.39,0.73,1.7,0.1,3,8,0.9973,3.2,0.79,13.6,8
196,11.6,0.58,0.48,1.8,0.067,6,14,0.99476,3.1,0.67,10.4,6
197,7.5,0.37,0.52,2.3,0.066,17,42,0.9934,3.34,0.79,11.1,5
198,8.7,0.41,0.64,2,0.07,4,10,0.99558,3.26,0.74,12,6
199,7.1,0.6,0.26,2.1,0.076,23,94,0.99622,3.37,0.56,9.7,6
200,6.7,0.88,0,1.9,0.08,27,61,0.9968,3.52,0.58,9.7,5
201,7.9,0.43,0.33,2.4,0.332,16,69,0.9986,3.41,1.06,10.7,6
202,6.7,0.7,0.01,2.1,0.059,7,25,0.99508,3.44,0.56,11.5,5
203,13.3,0.39,0.49,2.2,0.086,5,14,1.0002,3.19,0.61,9.3,5
204,7.1,0.96,0,1.4,0.079,6,12,0.99668,3.37,0.56,9.5,5
205,8.8,0.28,0.45,4.7,0.125,11,24,0.99828,3.27,0.79,11.4,7
206,8.4,1.04,0.24,1.9,0.078,10,45,0.9958,3.21,0.56,10.1,5
207,13.2,0.34,0.49,3.3,0.092,5,15,1.0014,3.07,0.78,12.7,7
208,7.4,0.64,0.21,2.1,0.08,23,121,0.9974,3.32,0.58,9.8,5
209,10.2,0.24,0.44,2,0.069,17,24,0.99728,3.22,0.51,11,7
210,5.1,0.56,0,1.8,0.057,8,20,0.99672,3.68,0.86,11,5
211,12.3,0.615,0.66,3,0.083,5,19,1.0004,3.19,0.69,10.6,6
212,7.9,0.21,0.43,1.5,0.076,10,21,0.9958,3.28,0.53,10.4,5
213,7.6,0.38,0.31,2,0.082,21,74,0.9976,3.24,0.55,9.5,4
214,12.3,0.38,0.49,2.6,0.098,10,42,1.0004,3.15,0.61,9.2,5
215,10.3,0.35,0.36,1.8,0.072,6,15,0.9976,3.15,1.02,11,7
216,7,0.955,0,2.4,0.058,29,48,0.99362,3.36,0.48,12.4,5
217,10.6,0.46,0.09,2.4,0.065,5,20,0.9986,3.18,0.58,10,6
218,13.8,0.49,0.63,2.1,0.084,6,11,1.0004,3.2,0.93,10.9,6
219,7,0.5,0.02,2.3,0.064,32,48,0.99557,3.35,0.54,10,4
220,8.8,0.66,0.45,3.4,0.094,6,14,0.99852,3.1,0.54,9.2,5
221,8.2,0.87,0.21,1.6,0.08,6,15,0.9968,3.13,0.66,9.8,3
222,6.7,0.74,0.19,4,0.077,26,51,0.9948,3.39,0.6,12.3,7
223,7.2,0.62,0.06,2.3,0.076,28,52,0.9948,3.51,0.71,10.8,6
224,7.7,0.65,0.21,4,0.077,15,65,0.99587,3.37,0.55,9.7,5
225,7.4,0.59,0.22,2.3,0.112,12,45,0.9971,3.32,0.54,9.4,7
226,9.9,0.63,0.49,1.9,0.09,20,112,0.9991,3.03,0.63,9.6,4
227,6.8,0.735,0,1.8,0.052,18,38,0.99467,3.61,0.59,10.9,5
228,8.9,0.31,0.27,3.4,0.074,10,21,0.99572,3.31,0.81,11.7,6
229,6.7,0.46,0.28,2.4,0.08,13,81,0.99064,3.34,0.67,9.3,5
230,10.4,0.45,0.49,2.9,0.095,16,112,1.0004,3.16,0.64,9.2,6
231,8.9,0.5,0.33,1.5,0.057,5,12,0.99498,3.22,0.74,11.4,6
232,7.9,0.56,0.13,1.9,0.064,48,90,0.99604,3.23,0.51,9.3,5
233,9.5,0.7,0.29,2.1,0.082,34,52,0.99668,3.3,0.73,10.4,7
234,7.7,0.725,0.12,1.9,0.078,21,66,0.9963,3.37,0.49,8.7,4
235,11.3,0.18,0.4,3.4,0.066,25,60,0.9986,3.28,0.71,11.8,7
236,7.3,0.41,0.33,2.5,0.073,17,40,0.9963,3.34,0.54,10.1,4
237,7.1,0.59,0.02,2.3,0.082,23,99,0.99745,3.52,0.54,9.7,5
238,14.3,0.4,0.6,2.1,0.132,6,15,1.0004,2.88,0.79,12.9,7
239,7.2,0.52,0.06,1.6,0.062,13,45,0.9946,3.39,0.79,11.2,7
240,7.6,0.51,0.13,2,0.071,20,86,0.99546,3.32,0.63,11.2,5
241,8.9,0.575,0.22,4.65,0.079,4,13,0.9982,3.37,0.52,9.5,5
242,6.6,0.54,0.04,2.2,0.076,16,37,0.9955,3.6,0.63,10,6
243,7.7,0.46,0.31,2.6,0.086,30,69,0.9987,3.38,0.62,9,5
244,6.6,0.56,0.29,1.9,0.169,20,49,0.99573,3.24,0.87,10.7,8
245,6.4,0.82,0.03,2.2,0.087,28,109,0.9967,3.56,0.6,10.8,6
246,6.3,0.33,0.25,1.9,0.05,14,45,0.9952,3.38,0.53,11.2,5
247,7.7,0.31,0.21,2.1,0.073,15,26,0.99588,3.27,0.85,9.5,7
248,9.9,0.45,0.24,1.7,0.081,37.5,53,0.99692,3.19,0.44,9.5,4
249,6.7,0.56,0,1.9,0.082,9,17,0.9934,3.56,0.64,12.5,6
250,7.3,0.28,0.35,2,0.077,23,54,0.9948,3.39,0.6,11.3,6
251,7.9,0.31,0.27,1.9,0.058,16,36,0.99396,3.17,0.4,11.4,6
252,6.2,0.66,0.02,2.1,0.081,29,40,0.99534,3.53,0.78,11.8,6
253,7,0.885,0.26,2.2,0.087,32,140,0.9983,3.49,0.51,9.4,5
254,6.8,0.48,0.03,2,0.063,18,40,0.9955,3.34,0.6,10.7,6
255,7.6,0.5,0.42,1.4,0.071,6,16,0.9973,3.36,0.72,9.5,5
256,11.3,0.38,0.57,3.4,0.07,5,13,1,3.17,0.71,11.4,6
257,6.1,0.55,0.13,2.5,0.056,14,20,0.99472,3.55,0.59,11.9,6
258,9.1,0.66,0,2.1,0.096,20,49,0.997,3.22,0.58,9.6,5
259,7,0.7,0,2.1,0.132,9,31,0.99636,3.37,0.52,10,5
260,8.7,0.36,0.55,2,0.128,7,16,0.9982,3.24,0.85,11.8,6
261,10.2,0.66,0.48,2.7,0.076,15,64,0.9973,3.04,0.6,9.3,6
262,6.6,0.4,0.49,2,0.095,19,58,0.9968,3.45,0.57,12.7,6
263,7.8,0.54,0.28,3.9,0.078,21,77,0.99408,3.37,0.77,12.4,7
264,11.9,0.58,0.66,1.5,0.071,3,15,0.99572,3.08,0.57,10.6,6
265,11.6,0.52,0.66,2.5,0.077,7,32,0.9988,3.11,0.62,9.2,5
266,7.6,0.49,0.27,2.2,0.079,33,141,0.99728,3.35,0.57,9.9,5
267,7.4,0.5,0.21,5.6,0.11,28,129,0.9976,3.28,0.52,9,5
268,9.9,0.29,0.4,2.4,0.066,16,33,0.99572,3.39,0.67,11.7,6
269,13.8,0.35,0.49,2.8,0.075,15,28,1.0014,3.04,0.68,11.4,6
270,7.8,0.705,0.36,1.7,0.086,12,66,0.99627,3.29,0.52,10.9,6
271,6.8,0.6,0.08,1.8,0.064,27,61,0.9948,3.45,0.53,9.5,5
272,6.4,0.36,0.08,2.2,0.075,10,44,0.9955,3.44,0.58,10,5
273,8.3,0.31,0.34,2.3,0.082,28,71,0.9994,3.52,0.77,9.8,6
274,6.6,0.54,0,2.9,0.081,17,35,0.99701,3.56,0.58,9.3,5
275,9.4,0.28,0.32,2.1,0.079,38,54,0.99622,3.26,0.62,10.6,7
276,8.7,0.78,0.2,2.1,0.092,16,86,0.9974,3.16,0.49,9.6,5
277,6.4,0.66,0.08,2.1,0.077,11,86,0.99552,3.58,0.63,9.7,5
278,7.9,0.3,0.34,1.8,0.05,13,35,0.9972,3.38,0.6,10.8,6
279,7.1,0.3,0.33,2.4,0.063,11,44,0.9944,3.48,0.72,11,6
280,13.3,0.46,0.49,2.2,0.066,10,42,1.0032,3.16,0.72,12,5
281,10.6,0.27,0.49,3,0.074,5,14,0.9976,3.18,0.84,9.3,6
282,7.3,0.42,0.24,2.4,0.082,21,102,0.99633,3.22,0.48,9.2,5
283,9.9,0.49,0.19,2.6,0.111,1,47,0.9996,3.19,0.72,9.7,6
284,8.8,0.32,0.44,2.2,0.106,6,13,0.99836,3.27,0.57,11.8,6
285,7.1,0.805,0,1.9,0.066,11,45,0.9976,3.48,0.66,9.6,5
286,13.8,0.615,0.66,3.6,0.08,10,30,1.0014,3.08,0.53,10.5,6
287,7.9,0.36,0.21,1.9,0.063,36,121,0.9958,3.35,0.54,9.9,6
288,9.3,0.4,0.42,1.7,0.069,3,8,0.99458,3.3,0.85,12.1,8
289,11.4,0.6,0.49,2.7,0.087,23,143,0.9982,3.08,0.51,10,5
290,9.4,0.27,0.44,2.2,0.09,12,31,0.99925,3.18,0.67,9.3,5
291,11.4,0.32,0.63,2.4,0.081,12,45,0.9987,3.08,0.53,9.5,5
292,10.1,0.69,0.4,1.5,0.1,6,13,0.99774,3.35,0.5,9.5,5
293,12.8,0.5,0.49,2.6,0.088,20,112,0.999,3.14,0.61,9.5,5
294,8.2,0.32,0.45,4.3,0.078,6,10,0.9971,3.31,0.78,12.1,7
295,11.5,0.4,0.53,2,0.101,10,24,0.99572,3.21,0.62,11,6
296,7.7,0.26,0.42,2.6,0.074,21,67,0.9968,3.26,0.57,11.2,5
297,12.4,0.49,0.49,2.9,0.095,5,20,0.9994,3.04,0.62,10.9,6
298,8.6,0.68,0.11,2.5,0.098,38,106,0.9984,3.23,0.53,9.8,5
299,7.6,0.655,0.04,2.8,0.086,19,31,0.9973,3.38,0.65,9.5,6
300,7.6,0.43,0.29,2.3,0.077,34,121,0.9961,3.17,0.56,9.5,6
301,6.4,0.64,0.1,1.7,0.091,11,35,0.99396,3.36,0.49,9.4,6
302,6.6,0.705,0.05,1.9,0.076,4,15,0.9934,3.42,0.59,10.5,5
303,12.3,0.27,0.49,2.2,0.077,6,15,0.99316,3.15,0.75,12.9,7
304,8,0.68,0.27,2.6,0.084,31,67,0.99568,3.31,0.54,10.5,5
305,9.3,0.42,0.24,2.8,0.076,12,42,0.9984,3.32,0.57,9,6
306,9,0.42,0.3,2.1,0.076,26,42,0.9984,3.38,0.69,10.8,6
307,9.8,0.84,0.32,2.6,0.074,16,82,0.99818,3.2,0.52,11,8
308,7.7,0.835,0,2,0.086,15,54,0.99612,3.31,0.54,10,5
309,7.3,0.965,0,1.8,0.123,5,14,0.99594,3.4,0.64,10.1,6
310,8.9,0.35,0.53,2,0.078,5,21,0.9973,3.17,0.55,9.5,5
